카드 제목,속성,레벨,종족,atk,def
빙하의 물의 조종자,물,레벨 6,[마법사족/효과],공격력 1200,수비력 3000
빛의 정령 디아나,빛,레벨 4,[번개족/특수 소환/효과],공격력 1700,수비력 1000
빛의 제너레이드 마르델,빛,레벨 9,[식물족/효과],공격력 2400,수비력 2400
빛의 제왕 크라이스,빛,레벨 6,[전사족/효과],공격력 2400,수비력 1000
빛의 천천 바하루티야,빛,레벨 7,[드래곤족/효과],공격력 2000,수비력 2400
빛의 추방자,빛,레벨 3,[천사족/효과],공격력 100,수비력 2000
빨간 구두,어둠,레벨 2,[악마족/리버스/효과],공격력 500,수비력 300
뻐끔버그,땅,레벨 3,[곤충족/효과],공격력 300,수비력 1000
뿔 개구리,물,레벨 2,[물족/효과],공격력 400,수비력 400
쁘띠라노돈,땅,레벨 2,[공룡족/효과],공격력 500,수비력 500
삐악꼬꼬,바람,레벨 1,[비행야수족/리버스/효과],공격력 300,수비력 200
사 제왕 가이우스,어둠,레벨 6,[악마족/효과],공격력 2400,수비력 1000
사 제왕가신 루키우스,어둠,레벨 1,[악마족/효과],공격력 800,수비력 1000
사광신의 사자,어둠,레벨 3,[마법사족/효과],공격력 600,수비력 1000
사냥 거미,땅,레벨 5,[곤충족/일반],공격력 1600,수비력 1400
사도 식충,땅,레벨 5,[곤충족/리버스/효과],공격력 900,수비력 1200
사령 백작,어둠,레벨 5,[악마족/일반],공격력 2000,수비력 700
사령기사 데스커리버 나이트,어둠,레벨 4,[악마족/효과],공격력 1900,수비력 1800
사령왕 도하스라,어둠,레벨 8,[언데드족/효과],공격력 2800,수비력 2000
사룡 아난타,어둠,레벨 8,[파충류족/특수 소환/효과],공격력 ?,수비력 ?
사막 맥,땅,레벨 3,[야수족/리버스/효과],공격력 900,수비력 300
사막의 수호자,땅,레벨 4,[곤충족/효과],공격력 800,수비력 1000
사무라이 스워드 바론,땅,레벨 4,[전사족/효과],공격력 1600,수비력 1200
사신 게,어둠,레벨 12,[파충류족/특수 소환/효과],공격력 ?,수비력 0
사신 드레드 루트,어둠,레벨 10,[악마족/효과],공격력 4000,수비력 4000
사신 부메랑,화염,레벨 3,[악마족/일반],공격력 1000,수비력 400
사신 아바타,어둠,레벨 10,[악마족/효과],공격력 ?,수비력 ?
사신 이레이저,어둠,레벨 10,[악마족/효과],공격력 ?,수비력 ?
사신관 칠람 사바크,어둠,레벨 8,[파충류족/효과],공격력 2500,수비력 0
사신기－옥화,빛,레벨 6,[언데드족/효과],공격력 2400,수비력 1400
사신조 시무르그,바람,레벨 3,[비행야수족/효과],공격력 1500,수비력 200
사악왕 트라카렐,어둠,레벨 5,[악마족/효과],공격력 2400,수비력 1000
사악한 웜 괴물,땅,레벨 3,[야수족/효과],공격력 1400,수비력 700
사안의 전령－프슈코폼포스,땅,레벨 2,[언데드족/튜너/효과],공격력 0,수비력 0
사역의 신관－아스카톨,땅,레벨 5,[마법사족/효과],공격력 2300,수비력 1500
사염의 날개,화염,레벨 2,[화염족/일반],공격력 700,수비력 600
사왕 리치로드,어둠,레벨 6,[언데드족/효과],공격력 2400,수비력 1200
사요 시구레,바람,레벨 3,[언데드족/튜너/효과],공격력 0,수비력 1800
사우전드 아이즈 피시,물,레벨 5,[어류족/특수 소환/효과],공격력 300,수비력 2100
사운드 워리어 기타리스,바람,레벨 3,[기계족/펜듈럼/튜너/효과],공격력 1100,수비력 500
사운드 워리어 디제이스,바람,레벨 4,[기계족/펜듈럼/효과],공격력 1200,수비력 1200
사이 걸,땅,레벨 2,[사이킥족/튜너/효과],공격력 500,수비력 300
사이바테크 와이반,바람,레벨 5,[기계족/일반],공격력 2500,수비력 1600
사이버 다이너소어,빛,레벨 7,[기계족/효과],공격력 2500,수비력 1900
사이버 다크 에지,어둠,레벨 4,[기계족/효과],공격력 800,수비력 800
사이버 다크 캐논,어둠,레벨 3,[드래곤족/효과],공격력 1600,수비력 800
사이버 다크 클로,어둠,레벨 3,[드래곤족/효과],공격력 1600,수비력 800
사이버 다크 키메라,어둠,레벨 4,[기계족/효과],공격력 800,수비력 2100
사이버 다크 킬,어둠,레벨 4,[기계족/효과],공격력 800,수비력 800
사이버 다크 혼,어둠,레벨 4,[기계족/효과],공격력 800,수비력 800
사이버 데몬,어둠,레벨 4,[악마족/효과],공격력 1000,수비력 2000
사이버 드래곤,빛,레벨 5,[기계족/효과],공격력 2100,수비력 1600
사이버 드래곤 넥스테아,빛,레벨 1,[기계족/효과],공격력 200,수비력 200
사이버 드래곤 드라이,빛,레벨 4,[기계족/효과],공격력 1800,수비력 800
사이버 드래곤 츠바이,빛,레벨 4,[기계족/효과],공격력 1500,수비력 1000
사이버 드래곤 코어,빛,레벨 2,[기계족/효과],공격력 400,수비력 1500
사이버 드래곤 퓌어,빛,레벨 4,[기계족/효과],공격력 1100,수비력 1600
사이버 드래곤 헤르츠,빛,레벨 1,[기계족/효과],공격력 100,수비력 100
사이버 라바,빛,레벨 1,[기계족/효과],공격력 400,수비력 600
사이버 레이더,어둠,레벨 4,[기계족/효과],공격력 1400,수비력 1000
사이버 레이저 드래곤,빛,레벨 7,[기계족/특수 소환/효과],공격력 2400,수비력 1800
사이버 밸리,빛,레벨 1,[기계족/효과],공격력 0,수비력 0
사이버 베리어 드래곤,빛,레벨 6,[기계족/특수 소환/효과],공격력 800,수비력 2800
사이버 쁘띠 엔젤,빛,레벨 2,[천사족/효과],공격력 300,수비력 200
사이버 샤크,물,레벨 5,[어류족/효과],공격력 2100,수비력 2000
사이버 에그 엔젤,빛,레벨 2,[천사족/효과],공격력 200,수비력 300
사이버 에스퍼,화염,레벨 4,[기계족/효과],공격력 1200,수비력 1800
사이버 엔젤－나사테이야－,빛,레벨 5,[천사족/의식/효과],공격력 1000,수비력 1000
사이버 엔젤－다키니－,빛,레벨 8,[천사족/의식/효과],공격력 2700,수비력 2400
사이버 엔젤－벤텐－,빛,레벨 6,[천사족/의식/효과],공격력 1800,수비력 1500
사이버 엔젤－비슈누－,빛,레벨 10,[천사족/의식/효과],공격력 3000,수비력 2000
사이버 엔젤－이다텐－,빛,레벨 6,[천사족/의식/효과],공격력 1600,수비력 2000
사이버 엔젤－이자나－,빛,레벨 8,[천사족/의식/효과],공격력 2500,수비력 2600
사이버 엘타닌,빛,레벨 10,[기계족/특수 소환/효과],공격력 ?,수비력 ?
사이버 오우거,땅,레벨 5,[기계족/효과],공격력 1900,수비력 1200
사이버 우로보로스,어둠,레벨 2,[기계족/효과],공격력 100,수비력 600
사이버 지라프,빛,레벨 3,[기계족/효과],공격력 300,수비력 800
사이버 짐내스틱스,땅,레벨 4,[전사족/효과],공격력 800,수비력 1800
사이버 츄츄,땅,레벨 3,[전사족/효과],공격력 1000,수비력 800
사이버 츄츄본,땅,레벨 5,[전사족/효과],공격력 1800,수비력 1600
사이버 파로스,빛,레벨 1,[기계족/효과],공격력 0,수비력 2100
사이버 포드,어둠,레벨 3,[암석족/리버스/효과],공격력 900,수비력 900
사이버 프리마,빛,레벨 6,[전사족/효과],공격력 2300,수비력 1600
사이버 피닉스,화염,레벨 4,[기계족/효과],공격력 1200,수비력 1600
사이버네틱 매지션,빛,레벨 6,[마법사족/효과],공격력 2400,수비력 1000
사이버네틱 외눈 거인,땅,레벨 4,[야수전사족/효과],공격력 1400,수비력 200
사이버스 가제트,빛,레벨 4,[사이버스족/효과],공격력 1400,수비력 300
사이버스 매지션,어둠,레벨 7,[사이버스족/의식/효과],공격력 2500,수비력 2000
사이버스 세이지,어둠,레벨 1,[사이버스족/의식/튜너/효과],공격력 0,수비력 0
사이버스 싱크론,어둠,레벨 1,[사이버스족/튜너/효과],공격력 100,수비력 100
사이버스 위저드,빛,레벨 4,[사이버스족/효과],공격력 1800,수비력 800
사이버스 컨버터,빛,레벨 2,[사이버스족/효과],공격력 1000,수비력 1000
사이버스 화이트햇,빛,레벨 6,[사이버스족/효과],공격력 1800,수비력 2400
사이보그 닥터,땅,레벨 4,[마법사족/효과],공격력 1500,수비력 1700
사이코 갑파,물,레벨 2,[물족/일반],공격력 400,수비력 1000
사이코 기가 사이버,어둠,레벨 6,[기계족/효과],공격력 2200,수비력 1200
사이코 로버,어둠,레벨 2,[사이킥족/효과],공격력 0,수비력 700
사이코 에이스,어둠,레벨 2,[사이킥족/효과],공격력 1000,수비력 0
사이코 엠페러,빛,레벨 6,[사이킥족/효과],공격력 2400,수비력 1000
사이코 워르도,땅,레벨 4,[사이킥족/효과],공격력 1900,수비력 1200
사이코 점퍼,땅,레벨 2,[사이킥족/튜너/효과],공격력 100,수비력 1500
사이코 커맨더,땅,레벨 3,[사이킥족/튜너/효과],공격력 1400,수비력 800
사이코롭스,화염,레벨 4,[기계족/효과],공격력 1800,수비력 200
사이코윌더,땅,레벨 3,[사이킥족/튜너/효과],공격력 600,수비력 0
사이코트래커,땅,레벨 3,[사이킥족/효과],공격력 1600,수비력 600
사이킥 리플렉터,어둠,레벨 1,[사이킥족/튜너/효과],공격력 400,수비력 300
사이킥 블로커,바람,레벨 4,[사이킥족/효과],공격력 1200,수비력 300
사이킥 비스트,땅,레벨 2,[사이킥족/효과],공격력 700,수비력 500
사이퍼 미러나이트,빛,레벨 4,[전사족/효과],공격력 0,수비력 0
사이퍼 바이프레인,빛,레벨 6,[기계족/효과],공격력 1000,수비력 2000
사이퍼 스카우터,땅,레벨 3,[기계족/효과],공격력 1350,수비력 1800
사이퍼 에트랑제,빛,레벨 1,[마법사족/효과],공격력 0,수비력 0
사이퍼 윙,빛,레벨 4,[기계족/효과],공격력 1400,수비력 1200
사이퍼 트윈 랩토르,빛,레벨 4,[기계족/효과],공격력 1600,수비력 800
사일런트 매지션 LV4,빛,레벨 4,[마법사족/효과],공격력 1000,수비력 1000
사일런트 매지션 LV8,빛,레벨 8,[마법사족/특수 소환/효과],공격력 3500,수비력 1000
사일런트 스워드맨 LV3,빛,레벨 3,[전사족/효과],공격력 1000,수비력 1000
사일런트 스워드맨 LV5,빛,레벨 5,[전사족/효과],공격력 2300,수비력 1000
사일런트 스워드맨 LV7,빛,레벨 7,[전사족/특수 소환/효과],공격력 2800,수비력 1000
사일런트 앵그러,물,레벨 4,[어류족/효과],공격력 800,수비력 1400
사일런트 어비스,물,레벨 7,[파충류족/효과],공격력 2000,수비력 1500
사일런트 워비,물,레벨 4,[어류족/효과],공격력 1000,수비력 2000
사일런트 인섹트,땅,레벨 2,[곤충족/효과],공격력 200,수비력 300
사일렌스 씨네틀,물,레벨 4,[물족/효과],공격력 800,수비력 1300
사제관 사르코파구스,어둠,레벨 4,[언데드족/효과],공격력 0,수비력 0
사천사 하비스트,어둠,레벨 4,[천사족/펜듈럼/효과],공격력 1800,수비력 1000
사키타마,빛,레벨 4,[천사족/스피릿/효과],공격력 400,수비력 900
사탄클로스,빛,레벨 6,[악마족/효과],공격력 1200,수비력 2500
사테라나이트 데네브,빛,레벨 4,[전사족/효과],공격력 1500,수비력 1000
사테라나이트 리겔,빛,레벨 4,[전사족/효과],공격력 1900,수비력 700
사테라나이트 베가,빛,레벨 4,[전사족/효과],공격력 1200,수비력 1600
사테라나이트 베텔기우스,빛,레벨 4,[전사족/효과],공격력 700,수비력 1900
사테라나이트 샴,빛,레벨 4,[전사족/효과],공격력 1400,수비력 1800
사테라나이트 시리우스,빛,레벨 4,[전사족/효과],공격력 1600,수비력 900
사테라나이트 알타일,빛,레벨 4,[전사족/효과],공격력 1700,수비력 1300
사테라나이트 우누크,빛,레벨 4,[전사족/효과],공격력 1800,수비력 1000
사테라나이트 카펠라,빛,레벨 4,[전사족/효과],공격력 1100,수비력 2000
사테라나이트 프로키온,빛,레벨 4,[전사족/효과],공격력 1300,수비력 1200
사파이어 드래곤,바람,레벨 4,[드래곤족/일반],공격력 1900,수비력 1600
산과 설해의 봄화정,땅,레벨 3,[천사족/효과],공격력 1100,수비력 0
산들바람의 정령,바람,레벨 3,[천사족/효과],공격력 0,수비력 1800
살염성－불키,화염,레벨 4,[야수전사족/효과],공격력 1700,수비력 1000
삼겹뱃살 나이트,땅,레벨 4,[전사족/효과],공격력 1000,수비력 1600
삼두 괴수 기도,어둠,레벨 4,[악마족/일반],공격력 1200,수비력 1400
삼라의 나루터지기 로터스,물,레벨 5,[식물족/효과],공격력 2300,수비력 1100
삼라의 밀감자 시트라,물,레벨 3,[식물족/효과],공격력 400,수비력 1100
삼라의 선수 레기아,화염,레벨 8,[식물족/효과],공격력 2700,수비력 1800
삼라의 수선 리프,물,레벨 3,[식물족/효과],공격력 1500,수비력 1200
삼라의 신아 스프라우트,빛,레벨 1,[식물족/효과],공격력 100,수비력 100
삼라의 실장 피스,바람,레벨 1,[식물족/효과],공격력 400,수비력 100
삼라의 엽심봉 블레이드,땅,레벨 4,[식물족/효과],공격력 1900,수비력 700
삼라의 영포자 스톨,화염,레벨 2,[식물족/효과],공격력 100,수비력 2000
삼라의 은밀 스나프,어둠,레벨 1,[식물족/효과],공격력 900,수비력 400
삼라의 파수꾼 오크,땅,레벨 6,[식물족/효과],공격력 2400,수비력 1500
삼라의 현수 샤먼,바람,레벨 7,[식물족/효과],공격력 2600,수비력 2100
삼라의 화훼사 나르사스,땅,레벨 4,[식물족/효과],공격력 1800,수비력 1000
삼라의 희아군 스프라우트,빛,레벨 1,[식물족/효과],공격력 100,수비력 100
삼련성의 트리온,빛,레벨 1,[전사족/효과],공격력 100,수비력 100
삼봉 낙타,땅,레벨 3,[야수족/효과],공격력 500,수비력 1500
삼천개가시 고슴도치,땅,레벨 8,[야수족/효과],공격력 3000,수비력 1800
상검군사－용연,화염,레벨 6,[환룡족/효과],공격력 1200,수비력 2300
상검사－막야,물,레벨 4,[환룡족/효과],공격력 1700,수비력 1800
상검사－태아,바람,레벨 4,[환룡족/효과],공격력 1800,수비력 1500
상검서수－순균,땅,레벨 6,[환룡족/효과],공격력 2400,수비력 1800
상극의 마술사,어둠,레벨 7,[마법사족/펜듈럼/효과],공격력 2500,수비력 500
상생의 마술사,빛,레벨 4,[마법사족/펜듈럼/효과],공격력 500,수비력 1500
상애의 언브레캄,물,레벨 3,[마법사족/튜너/효과],공격력 500,수비력 1500
상염성－울브쇼,화염,레벨 3,[야수전사족/효과],공격력 0,수비력 1900
새크리보,어둠,레벨 1,[악마족/효과],공격력 300,수비력 200
새크리파이스,어둠,레벨 1,[마법사족/의식/효과],공격력 0,수비력 0
새크리파이스 로터스,어둠,레벨 1,[식물족/효과],공격력 0,수비력 0
새크리파이스 스파이더,땅,레벨 2,[곤충족/효과],공격력 300,수비력 500
새털라이트 싱크론,어둠,레벨 2,[기계족/튜너/효과],공격력 700,수비력 100
새털라이트 캐논,빛,레벨 5,[기계족/효과],공격력 0,수비력 0
샌드 갬블러,빛,레벨 3,[마법사족/효과],공격력 300,수비력 1600
샌드 모스,땅,레벨 4,[암석족/효과],공격력 1000,수비력 2000
샐러맨그레이트 B바이슨,화염,레벨 8,[사이버스족/효과],공격력 2800,수비력 1000
샐러맨그레이트 J재규어,화염,레벨 4,[사이버스족/효과],공격력 1800,수비력 1200
샐러맨그레이트 가젤,화염,레벨 3,[사이버스족/효과],공격력 1500,수비력 1000
샐러맨그레이트 라쿤,화염,레벨 1,[사이버스족/효과],공격력 400,수비력 800
샐러맨그레이트 몰,화염,레벨 1,[사이버스족/효과],공격력 0,수비력 0
샐러맨그레이트 미어,화염,레벨 2,[사이버스족/효과],공격력 800,수비력 600
샐러맨그레이트 스피니,화염,레벨 3,[사이버스족/효과],공격력 1000,수비력 1500
샐러맨그레이트 에머랄드 이글,화염,레벨 8,[사이버스족/의식/효과],공격력 2800,수비력 2000
샐러맨그레이트 울비,화염,레벨 4,[사이버스족/효과],공격력 1700,수비력 1000
샐러맨그레이트 제브로이드X,화염,레벨 4,[사이버스족/효과],공격력 1500,수비력 1000
샐러맨그레이트 코요테,화염,레벨 3,[사이버스족/효과],공격력 1000,수비력 200
샐러맨그레이트 팔코,화염,레벨 4,[사이버스족/효과],공격력 1200,수비력 1600
샐러맨그레이트 패로,화염,레벨 5,[사이버스족/효과],공격력 2000,수비력 1000
샐러맨그레이트 페넥,화염,레벨 3,[사이버스족/효과],공격력 1600,수비력 200
샐러맨그레이트 포울,화염,레벨 4,[사이버스족/효과],공격력 1800,수비력 200
샐러맨그레이트 폭서,화염,레벨 3,[사이버스족/효과],공격력 1200,수비력 1000
샐러맨그레이트 폭시,화염,레벨 3,[사이버스족/효과],공격력 1000,수비력 1200
샐비전트 드라이버,빛,레벨 6,[사이버스족/효과],공격력 2200,수비력 2100
샐비지 워리어,물,레벨 5,[전사족/효과],공격력 1900,수비력 1600
생명의 대행자 넵튠,빛,레벨 1,[천사족/효과],공격력 0,수비력 600
생바인 메이든,땅,레벨 1,[식물족/효과],공격력 0,수비력 0
생시드 게니우스 로키,땅,레벨 1,[식물족/일반],공격력 0,수비력 600
생시드 섀도우,땅,레벨 1,[식물족/효과],공격력 0,수비력 400
생시드 트윈,땅,레벨 2,[식물족/효과],공격력 0,수비력 800
샤리 군관,화염,레벨 4,[물족/일반],공격력 2000,수비력 0
샤브티의 부적,땅,레벨 1,[암석족/효과],공격력 100,수비력 100
샤이닝 엔젤,빛,레벨 4,[천사족/효과],공격력 1400,수비력 800
샤인 나이트,빛,레벨 3,[전사족/효과],공격력 400,수비력 1900
샤인 스피릿,빛,레벨 7,[파충류족/효과],공격력 2000,수비력 1500
샤인 어비스,빛,레벨 4,[천사족/일반],공격력 1600,수비력 1800
샤크 더 크루,물,레벨 5,[어류족/효과],공격력 1800,수비력 2200
샤크 서커,물,레벨 3,[어류족/효과],공격력 200,수비력 1000
샤크라켄,물,레벨 6,[어류족/효과],공격력 2400,수비력 2100
샤크토퍼스,물,레벨 4,[어류족/효과],공격력 1600,수비력 800
섀도르 고슴도치,어둠,레벨 3,[마법사족/리버스/효과],공격력 800,수비력 200
섀도르 드래곤,어둠,레벨 4,[마법사족/리버스/효과],공격력 1900,수비력 0
섀도르 리저드,어둠,레벨 4,[마법사족/리버스/효과],공격력 1800,수비력 1000
섀도르 비스트,어둠,레벨 5,[마법사족/리버스/효과],공격력 2200,수비력 1700
섀도르 팔콘,어둠,레벨 2,[마법사족/리버스/튜너/효과],공격력 600,수비력 1400
섀도르 하운드,어둠,레벨 4,[마법사족/리버스/효과],공격력 1600,수비력 900
섀도우 구울,어둠,레벨 5,[언데드족/효과],공격력 1600,수비력 1300
섀도우 나이트 데몬,바람,레벨 4,[악마족/효과],공격력 2000,수비력 1600
섀도우 다이버,어둠,레벨 4,[악마족/듀얼/효과],공격력 1500,수비력 500
섀도우 리추어,물,레벨 4,[해룡족/효과],공격력 1200,수비력 1000
섀도우 뱀파이어,어둠,레벨 5,[언데드족/효과],공격력 2000,수비력 0
서광의 기사,빛,레벨 4,[전사족/효과],공격력 1400,수비력 1200
서몬 리액터 AI,어둠,레벨 5,[기계족/효과],공격력 2000,수비력 1400
서번트 오브 엔디미온,바람,레벨 3,[마법사족/펜듈럼/효과],공격력 900,수비력 1500
서브마린로이드,물,레벨 4,[기계족/효과],공격력 800,수비력 1800
서브테러마리스 글래이오스,땅,레벨 8,[물족/리버스/효과],공격력 2600,수비력 2500
서브테러마리스 리그리어드,땅,레벨 7,[파충류족/리버스/효과],공격력 2000,수비력 2700
서브테러마리스 바레스애시,땅,레벨 12,[화염족/리버스/효과],공격력 3000,수비력 1800
서브테러마리스 볼티니아,땅,레벨 9,[번개족/리버스/효과],공격력 1900,수비력 3000
서브테러마리스 아루라본,땅,레벨 6,[언데드족/리버스/효과],공격력 2400,수비력 1600
서브테러마리스 아쿠에드리아,땅,레벨 5,[해룡족/리버스/효과],공격력 1400,수비력 2600
서브테러마리스 엘가우스트,땅,레벨 11,[악마족/리버스/효과],공격력 3000,수비력 1400
서브테러마리스 지브라타르,땅,레벨 10,[암석족/리버스/효과],공격력 2800,수비력 2100
서브테러의 도사,땅,레벨 4,[드래곤족/리버스/효과],공격력 1600,수비력 1800
서브테러의 도장,땅,레벨 2,[야수전사족/효과],공격력 100,수비력 2000
서브테러의 사수,땅,레벨 3,[천사족/효과],공격력 1600,수비력 1400
서브테러의 요마,땅,레벨 1,[마법사족/효과],공격력 800,수비력 500
서브테러의 전사,땅,레벨 4,[전사족/효과],공격력 1800,수비력 1200
서치 스트라이커,바람,레벨 4,[전사족/효과],공격력 1600,수비력 1200
서치라이트맨,빛,레벨 3,[기계족/리버스/효과],공격력 1000,수비력 1000
서프레스 컬라이더,어둠,레벨 8,[사이버스족/일반],공격력 2800,수비력 2600
선라이즈 가드너,빛,레벨 3,[전사족/듀얼/효과],공격력 1500,수비력 500
선봉 대장,땅,레벨 3,[전사족/효과],공격력 1200,수비력 400
선인장 클로저,땅,레벨 4,[식물족/효과],공격력 1800,수비력 300
선인장 파이터,땅,레벨 4,[식물족/효과],공격력 1900,수비력 400
선풍기 스트리보그,바람,레벨 5,[기계족/효과],공격력 2200,수비력 2200
설어,물,레벨 4,[어류족/일반],공격력 1350,수비력 800
설천후 시엘,땅,레벨 3,[천사족/효과],공격력 0,수비력 2200
섬광의 결계상,빛,레벨 4,[천사족/효과],공격력 1000,수비력 1000
섬광의 기사,빛,레벨 4,[전사족/펜듈럼/일반],공격력 1800,수비력 600
섬광의 추방자,빛,레벨 3,[천사족/효과],공격력 1600,수비력 0
섬도희－레이,어둠,레벨 4,[전사족/효과],공격력 1500,수비력 1500
섬도희－로제,빛,레벨 4,[전사족/효과],공격력 1500,수비력 1500
섬술병기－H.A.M.P.,어둠,레벨 8,[기계족/효과],공격력 2500,수비력 2500
성각룡－네프테 드래곤,빛,레벨 5,[드래곤족/효과],공격력 2000,수비력 1600
성각룡－드래곤 게브,빛,레벨 4,[드래곤족/효과],공격력 1800,수비력 400
성각룡－드래곤 누트,빛,레벨 4,[드래곤족/효과],공격력 1700,수비력 900
성각룡－세테크 드래곤,빛,레벨 8,[드래곤족/특수 소환/효과],공격력 2800,수비력 2000
성각룡－시유 드래곤,빛,레벨 6,[드래곤족/효과],공격력 2200,수비력 1000
성각룡－아세트 드래곤,빛,레벨 5,[드래곤족/효과],공격력 1900,수비력 1200
성각룡－우시르 드래곤,빛,레벨 7,[드래곤족/효과],공격력 2600,수비력 700
성각룡－토페니 드래곤,빛,레벨 6,[드래곤족/효과],공격력 2100,수비력 1400
성간룡 파섹,빛,레벨 8,[드래곤족/효과],공격력 800,수비력 800
성검을 품은 왕비 기네비어,빛,레벨 2,[마법사족/효과],공격력 300,수비력 300
성견야수 가리스,땅,레벨 3,[야수족/효과],공격력 800,수비력 800
성견조 랠리스,바람,레벨 3,[비행야수족/효과],공격력 800,수비력 800
성기사 가라해드,빛,레벨 4,[전사족/효과],공격력 1500,수비력 1800
성기사 가웨인,빛,레벨 4,[전사족/효과],공격력 1900,수비력 500
성기사 몰드레드,빛,레벨 4,[전사족/효과],공격력 1700,수비력 1000
성기사 베디비어,빛,레벨 4,[전사족/효과],공격력 1600,수비력 1500
성기사 보르스,빛,레벨 4,[전사족/효과],공격력 1700,수비력 900
성기사 아르토리우스,빛,레벨 4,[전사족/일반],공격력 1800,수비력 1800
성기사 엑타 드 마리스,어둠,레벨 5,[전사족/효과],공격력 1600,수비력 2000
성기사 이반,빛,레벨 4,[전사족/효과],공격력 1700,수비력 1600
성기사 잔느,빛,레벨 4,[전사족/효과],공격력 1900,수비력 1300
성기사 코르네우스,빛,레벨 4,[전사족/효과],공격력 1000,수비력 2000
성기사 트리스탄,빛,레벨 4,[전사족/효과],공격력 1800,수비력 800
성기사 퍼시발,빛,레벨 4,[전사족/효과],공격력 1900,수비력 300
성기사 펠리노아,빛,레벨 4,[전사족/효과],공격력 1900,수비력 500
성기사의 방패지기,빛,레벨 4,[전사족/효과],공격력 800,수비력 1300
성기사의 삼형제,빛,레벨 4,[전사족/효과],공격력 1200,수비력 2400
성기사의 창지기,빛,레벨 2,[전사족/효과],공격력 800,수비력 400
성도기사 이슈자크,빛,레벨 6,[전사족/효과],공격력 2300,수비력 1800
성새 고래,물,레벨 7,[어류족/효과],공격력 2350,수비력 2150
성스러운 광채,빛,레벨 1,[천사족/효과],공격력 0,수비력 0
성스러운 마술사,빛,레벨 1,[마법사족/리버스/효과],공격력 300,수비력 400
성스러운 인형,빛,레벨 4,[마법사족/일반],공격력 1600,수비력 1000
성스러운 파수꾼,땅,레벨 3,[마법사족/리버스/효과],공격력 800,수비력 1200
성스러운 해주사,빛,레벨 5,[마법사족/효과],공격력 2000,수비력 2300
성야에 빛나는 용,빛,레벨 7,[드래곤족/효과],공격력 2500,수비력 2300
성운룡 네뷸라,빛,레벨 8,[드래곤족/효과],공격력 2000,수비력 0
성유물의 수호룡 멜로다크,바람,레벨 9,[드래곤족/효과],공격력 2600,수비력 3000
성유물－『성개』,어둠,레벨 7,[기계족/효과],공격력 2500,수비력 2500
성유물－『성건』,어둠,레벨 1,[기계족/효과],공격력 0,수비력 0
성유물－『성관』,어둠,레벨 6,[기계족/효과],공격력 2000,수비력 2000
성유물－『성궤』,어둠,레벨 7,[기계족/효과],공격력 2500,수비력 500
성유물－『성순』,어둠,레벨 6,[기계족/효과],공격력 0,수비력 3000
성유물－『성잔』,어둠,레벨 5,[기계족/효과],공격력 0,수비력 0
성유물－『성장』,어둠,레벨 8,[기계족/효과],공격력 500,수비력 2500
성유물－『성창』,어둠,레벨 8,[기계족/효과],공격력 3000,수비력 0
성잔에 선택받은 자,화염,레벨 3,[사이킥족/일반],공격력 1600,수비력 0
성잔에 이끌린 자,땅,레벨 4,[전사족/일반],공격력 1800,수비력 0
성잔을 받드는 무녀,물,레벨 2,[마법사족/일반],공격력 0,수비력 2100
성잔의 수호룡,바람,레벨 1,[드래곤족/효과],공격력 400,수비력 400
성잔의 요정 리스,빛,레벨 2,[천사족/효과],공격력 100,수비력 2000
성전사 카오스 솔저,빛,레벨 8,[전사족/효과],공격력 3000,수비력 2500
성전의 수견사,물,레벨 3,[마법사족/효과],공격력 1500,수비력 1200
성점술공주 타로레이,빛,레벨 9,[천사족/의식/효과],공격력 2700,수비력 1200
성조 크레인,빛,레벨 4,[비행야수족/효과],공격력 1600,수비력 400
성좌천사 스톤,땅,레벨 4,[천사족/효과],공격력 1500,수비력 600
성진의 파라디온,바람,레벨 4,[드래곤족/효과],공격력 600,수비력 2000
세그멘탈 드래곤,빛,레벨 7,[사이버스족/효과],공격력 2600,수비력 2400
세기의 대도둑,땅,레벨 3,[마법사족/효과],공격력 1000,수비력 1000
세레모니 벨,빛,레벨 3,[마법사족/효과],공격력 0,수비력 1850
"세리온즈 ""듀크"" 율",빛,레벨 8,[사이킥족/효과],공격력 2100,수비력 2800
"세리온즈 ""리퍼"" 팜",물,레벨 7,[물족/효과],공격력 1400,수비력 2500
"세리온즈 ""릴리"" 보레아",바람,레벨 8,[식물족/효과],공격력 2400,수비력 2500
"세리온즈 ""불스"" 아인",화염,레벨 7,[전사족/효과],공격력 2100,수비력 1600
"세리온즈 ""임프레스"" 알라시아",땅,레벨 8,[파충류족/효과],공격력 2100,수비력 2500
"세리온즈 ""킹"" 레귤러스",땅,레벨 8,[기계족/효과],공격력 2800,수비력 1600
세리온즈 이레귤러,어둠,레벨 10,[기계족/효과],공격력 1600,수비력 2800
세이버 비틀,땅,레벨 6,[곤충족/효과],공격력 2400,수비력 600
세이버 사우루스,땅,레벨 4,[공룡족/일반],공격력 1900,수비력 500
세이버 샤크,물,레벨 4,[어류족/효과],공격력 1600,수비력 1200
세이크리드 그레디,빛,레벨 4,[마법사족/효과],공격력 1600,수비력 1400
세이크리드 다바란,빛,레벨 3,[야수전사족/효과],공격력 1300,수비력 800
세이크리드 레스카,빛,레벨 6,[전사족/효과],공격력 2200,수비력 1200
세이크리드 레오니스,빛,레벨 3,[야수족/효과],공격력 1000,수비력 1800
